row_type,group,predictor,outcome,spearman_rho,p_value,n,judge_metric,mean_score
spearman,pooled,item5,legal_correctness,0.1627,0.1024,102.0,,
spearman,pooled,item5,overall,0.1434,0.1506,102.0,,
spearman,pooled,AI_support,legal_correctness,0.2022,0.0415,102.0,,
spearman,pooled,AI_support,overall,0.2122,0.0322,102.0,,
spearman,pooled,BERTScore_F1,overall,0.566,0.0,102.0,,
spearman,pooled,SBERT_ModernBERT,overall,0.3282,0.0008,102.0,,
spearman,form,item5,legal_correctness,0.1331,0.453,34.0,,
spearman,form,item5,overall,0.0682,0.7015,34.0,,
spearman,form,AI_support,legal_correctness,0.0838,0.6376,34.0,,
spearman,form,AI_support,overall,-0.0804,0.6511,34.0,,
spearman,form,BERTScore_F1,overall,0.562,0.0005,34.0,,
spearman,form,SBERT_ModernBERT,overall,0.495,0.0029,34.0,,
spearman,ask,item5,legal_correctness,-0.1247,0.4895,33.0,,
spearman,ask,item5,overall,-0.2197,0.2193,33.0,,
spearman,ask,AI_support,legal_correctness,-0.1432,0.4265,33.0,,
spearman,ask,AI_support,overall,-0.1131,0.5309,33.0,,
spearman,ask,BERTScore_F1,overall,0.6,0.0002,33.0,,
spearman,ask,SBERT_ModernBERT,overall,0.2569,0.149,33.0,,
spearman,chat,item5,legal_correctness,0.4499,0.0067,35.0,,
spearman,chat,item5,overall,0.4074,0.0151,35.0,,
spearman,chat,AI_support,legal_correctness,0.5092,0.0018,35.0,,
spearman,chat,AI_support,overall,0.5399,0.0008,35.0,,
spearman,chat,BERTScore_F1,overall,0.6642,0.0,35.0,,
spearman,chat,SBERT_ModernBERT,overall,0.466,0.0048,35.0,,
mode_mean,ask,,,,,,completeness,4.0303
mode_mean,chat,,,,,,completeness,3.3143
mode_mean,form,,,,,,completeness,4.8235
mode_mean,ask,,,,,,hallucination_inverse,2.3636
mode_mean,chat,,,,,,hallucination_inverse,2.5143
mode_mean,form,,,,,,hallucination_inverse,1.6471
mode_mean,ask,,,,,,legal_correctness,3.5758
mode_mean,chat,,,,,,legal_correctness,3.2286
mode_mean,form,,,,,,legal_correctness,3.5882
mode_mean,ask,,,,,,overall,2.5455
mode_mean,chat,,,,,,overall,2.6857
mode_mean,form,,,,,,overall,2.3824
mode_mean,ask,,,,,,scenario_faithfulness,2.303
mode_mean,chat,,,,,,scenario_faithfulness,2.4571
mode_mean,form,,,,,,scenario_faithfulness,1.8529
