lfdn;duration;p_0001;1_order;2_order;3_order;participant_id;1_1_ai;1_2_ai;1_3_ai;1_4_ai;1_5_ai;1_6_ai;1_free;1_1_sus;1_2_sus;1_3_sus;1_4_sus;1_5_sus;1_6_sus;1_7_sus;1_8_sus;1_9_sus;1_10_sus;1_1_tlx_demand;1_2_tlx_demand;1_3_tlx_demand;1_4_tlx_demand;1_5_tlx_demand;1_1_tlx_performance;2_1_ai;2_2_ai;2_3_ai;2_4_ai;2_5_ai;2_6_ai;2_free;2_1_sus;2_2_sus;2_3_sus;2_4_sus;2_5_sus;2_6_sus;2_7_sus;2_8_sus;2_9_sus;2_10_sus;2_1_tlx_demand;2_2_tlx_demand;2_3_tlx_demand;2_4_tlx_demand;2_5_tlx_demand;2_1_tlx_performance;3_1_ai;3_2_ai;3_3_ai;3_4_ai;3_5_ai;3_6_ai;3_free;3_1_sus;3_2_sus;3_3_sus;3_4_sus;3_5_sus;3_6_sus;3_7_sus;3_8_sus;3_9_sus;3_10_sus;3_1_tlx_demand;3_2_tlx_demand;3_3_tlx_demand;3_4_tlx_demand;3_5_tlx_demand;3_1_tlx_performance;rank_1;rank_2;rank_3;4_free;Gender;Age;Degree;Profession;Field;Gdpr;Ropa;Chatbot;Seminar_1;seminar_2
90;2602;1;Chat;Ask;Form;NAB0152;5;5;5;5;5;5;-99;4;1;5;1;3;1;5;1;5;1;1;1;1;1;1;1;5;5;5;5;5;5;-99;5;1;5;1;5;1;5;1;5;1;1;1;1;1;1;1;5;5;4;4;4;5;-99;5;1;5;1;5;1;5;1;5;1;1;1;1;1;1;1;Form;Chat;Ask;Form muss man am wenigsten machen. Bei Chat und Ask habe ich nicht wirklich den Unterschied bemerkt was anders sein soll.;Male;30;Bachelor;Student;IT;3;1;4;5;-99
18;1866;1;Chat;Ask;Form;NAN277;5;5;5;4;5;5;Das LLM sagt  rechtssicher  was bei LLMs natürlich schwierig ist, vielleicht ein Guardrail einbauen, dass dieses Wort nicht erwähnt wird;5;2;3;2;4;1;4;2;4;1;10;1;8;3;4;3;5;5;5;4;4;4;-99;4;2;3;2;3;2;3;3;4;2;10;1;8;3;6;3;3;3;3;3;4;4;-99;3;3;3;2;4;3;3;4;3;2;10;1;8;8;6;5;Chat;Ask;Form;In Form war es etwas unübersichtlich, da ich zu wenig Vorwissen hatte. Das Chat war super!;Female;25;Master;Employed;IT;4;4;5;5;-99
79;283;1;Form;Chat;Ask;OAR2010;4;3;4;3;4;4;-99;3;1;4;1;3;2;4;2;4;2;4;4;4;4;4;19;4;4;4;4;4;4;-99;4;2;4;2;4;2;4;2;4;2;3;3;3;3;3;20;4;4;4;4;4;4;-99;4;2;4;2;4;2;4;2;4;2;3;3;3;3;3;19;Chat;Form;Ask;-99;Male;24;Bachelor;Student;IT;3;2;5;5;-99
46;612;1;Chat;Form;Ask;yya6868;4;4;3;4;5;3;-99;3;1;4;2;4;3;5;3;4;1;7;4;7;7;7;5;4;4;4;3;4;4;-99;3;2;4;2;4;3;4;2;4;2;7;7;7;7;7;5;4;4;4;4;4;3;-99;3;2;4;2;4;3;4;2;4;2;7;7;7;7;7;5;Chat;Form;Ask;-99;Male;31;Bachelor;Student;IT;2;2;4;5;-99
35;2582;1;Ask;Chat;Form;GAL0315;5;5;5;4;4;5;-99;4;1;4;1;3;3;5;1;4;2;11;1;11;7;4;7;4;4;4;2;3;3;-99;2;2;2;1;4;3;4;3;2;4;16;10;10;16;16;12;5;5;4;4;4;5;-99;5;1;5;1;3;2;5;1;4;3;5;11;11;4;7;4;Chat;Form;Ask;I do not what this is referring to on the forms;Female;26;Bachelor;Student;IT;3;1;4;3;-99
15;-1;1;Ask;Form;Chat;IOL1223;5;5;5;5;4;5;Ich habe erst versucht alles eigenständig auszufüllen. Nächstes mal warte ich nicht so lange, sondern nutze die KI schneller;4;1;5;1;4;1;4;1;4;1;3;1;1;5;15;5;4;5;2;2;1;1;Die KI hat sehr viel ausgewählt, da müsste man auf jeden Fall noch selbstständig filtern;1;3;2;2;4;2;2;2;4;1;5;1;1;5;15;15;3;1;3;4;3;2;Zusätzliche Bestätigung notwendig, damit die Informationen dann auch aufgenommen werden. Außerdem konnte man nichts vorab oder selbständig eintragen, sondern erst als Antwort im Chat;2;5;3;1;2;2;5;4;4;1;3;3;1;11;18;16;Chat;Form;Ask;Ask war sehr angenehm und eindeutig. Auch der Aufbau hat den Eindruck verstärkt, dass die KI unterstützend arbeitet.   Chat war langwierig und auch unsicher, weil es immer die Bestätigung benötigte.   Form hat mir nicht das Gefühl vermittelt genau genug zu arbeiten. ;Female;24;Bachelor;Student;Research;1;1;3;5;-99
26;1895;1;Form;Chat;Ask;NRI1753;4;4;4;2;4;4;-99;4;4;4;2;3;2;5;2;3;1;4;1;3;4;4;5;3;2;3;4;4;2;Viel Zeitaufwändiger als das erste Tool aber dafür bessere und genauere Antworten;2;2;4;1;3;2;5;2;3;2;2;2;2;4;11;6;5;5;5;5;5;4;Sehr gut, da dieser Modus auch mehr erklärt hat;4;3;4;1;4;3;5;1;5;2;4;1;4;2;1;2;Chat;Form;Ask;Ich finde, bei dem Modus mit der genauen Erläuterung wieso das System die Dinge genutzt hat am besten, da ich hier eine genaue Beschreibung bekomme. Hierdurch fallen mögliche Recherchen weg die bei den anderen Modi anfallen würden.;Other;25;Bachelor;Student;Other;4;1;4;5;-99
84;-1;1;Ask;Form;Chat;UOR0445;5;2;5;5;2;4;-99;3;1;5;1;5;1;4;1;3;1;5;1;1;5;5;3;5;5;5;5;5;5;-99;5;1;5;1;5;1;5;1;5;1;2;1;1;1;2;1;5;4;5;4;5;4;Bei einem Prompt kam ein englischer Satzanfang zurück:   I've updated die Rechtsgrundlage, um die folgenden Punkte zu berücksichtigen: ;4;1;5;1;4;1;5;1;5;1;1;1;1;3;1;2;Form;Chat;Ask;- Ask hat einem zwar Hinweise gegeben und so geholfen die Felder auszufüllen, allerdings war das Ergebnis erst im Endergebnis ersichtlich und es gab keine Übersicht wie das Model mit den Eingaben umgeht. Wie sich am Ende herausstellte enthielt das Ergebnis zu einem großen Teil meine Eingaben nur leicht abgeändert. Die Rechtsgrundlage war ein Fließtext ohne Verweise auf die tatsächlichen rechtlichen Grundlagen.    - Chat war in beiden Punkten besser. Die Eingaben wurden sofort evaluiert und man konnte auf Fehler reagieren als auch sehen, wie die eigene Eingabe verändert wurde. Allerdings war es nicht direkt ersichtlich, ob einfach der gesamte Chatverlauf für die Generation am Ende verwendet wird, oder ob man irgendwie noch für die einzelnen Felder die Antwort des LLM akzeptieren muss.    - Form war der insgesamt beste Modus. Durch die vorgegebenen Felder zum ankreuzen ging die Erstellung besonders schnell und einfach, ohne die eigene Eingabe irgendwie einzuschränken. Die Auswahl wurde genau übernommen.;Male;24;None;Student;IT;4;1;4;5;-99
12;2572;1;Form;Chat;Ask;AAL1220;5;5;2;4;3;3;-99;3;1;5;2;4;2;4;1;4;1;5;1;1;2;5;1;4;3;3;4;3;1;Effektiv lässt sich die Arbeit durch ein Chat Fenster lösen. Ich bin mir bewusst, dass dort mehr Fehler passieren könnten, aber für den menschlichen Arbeitsfluss ist der aktuelle Modus eher umständlich, da die meiste Zeit mit warten verbracht wird.;3;2;3;1;3;3;3;4;5;1;1;1;1;1;15;1;4;2;3;4;3;1;-99;1;4;4;1;3;5;3;3;3;1;1;1;1;1;18;2;Form;Chat;Ask;Auch wenn Form möglicherweise schlechtere Ergebnisse liefern kann, da es weniger detaillierte Informationen nimmt, ist der Arbeitsfluss damit deutlich angenehmer, also die ganze Zeit zu warten bis eine Willkommensnachricht generiert worden ist. Chat ist besser als Ask, da bei Chat einem die Leistung abgenommen wird, die Informationen aus der Antwort noch zu sammeln. Ask erscheint insgesamt am umständlichsten, ich könnte dort einfach ein externes LLM nutzen und wäre in der Erstellung deutlich schneller.;Male;26;Bachelor;Student;IT;2;2;5;3;-99
71;3088;1;Form;Ask;Chat;AEB2451;5;5;4;3;4;5;-99;4;1;5;1;5;1;3;1;5;1;1;1;1;4;5;3;5;5;5;4;4;2;Es wäre viel angenehmer, wenn man dem KI-Modell einmal am Anfang den Kontext geben kann und dann den Chat zu den jeweiligen Felder verwenden kann. So musste bei jedem Feld der Kontext neu gegeben werden, was man sich sparen kann.  Ich weiß nicht ob es gewollt ist, aber in dem Modus ist nur Freitext als Eingabe möglich. Mit den Kästchen von davor war das deutlich angenehmer und vor allem schneller.  Erklärungen sind natürlich viel besser als bei den KI-Vorschlägen;2;3;3;1;2;3;4;4;5;1;1;1;1;3;13;18;5;5;5;4;5;4;Es hat zwei Generierungen des Dokuments gebraucht, um die Rechtsgrundlagen einzutragen, obwohl es am Ende des Chats beim ersten Mal hieß:  Ich habe die Verarbeitungsgrundlagen entsprechend aktualisiert .  Bei den Aufbewahrungsfristen wurden im Modus davor mehr Vorschläge gemacht. Hier wurde einfach übernommen, was im Szenario steht ohne Hinweis bzw. Bewertungsversuch, ob das gesetzeskonform ist.;4;2;3;1;3;3;4;3;5;1;1;1;4;4;11;19;Form;Chat;Ask;Bei Chat und Ask wäre es wie erwähnt angenehmer das Szenario einmal am Anfang als Kontext zu geben. Form ist deutlich übersichtlicher, da man schnell überblicken kann was ausgewählt wurde. Bei Ask musste zusätzlich teilweise nach einer Formulierung gefragt werden, die dann in das Freitextfeld kopiert werden kann, was es am umständlichsten macht - Chat hat selbst ergänzt.   Am besten fände ich eine Mischung aus Form und Ask/Chat für bessere Explainability;Male;24;Bachelor;Student;IT;2;1;5;4;Praxisprojekt I
65;5358;1;Chat;Ask;Form;DAB1519;4;4;3;2;3;3;-99;1;2;3;2;4;3;4;3;3;4;14;3;14;8;7;10;3;4;4;3;4;2;-99;1;2;4;2;3;2;4;2;3;3;6;6;7;10;5;8;4;4;4;4;4;5;-99;3;3;2;2;4;2;3;4;3;3;8;1;6;4;4;10;Form;Chat;Ask;-99;Male;21;Bachelor;Student;IT;4;1;4;0;-99
