participant_id,session,mode,prompt,comment
AAL1220,2,Chat,2_free,"Effektiv lässt sich die Arbeit durch ein Chat Fenster lösen. Ich bin mir bewusst, dass dort mehr Fehler passieren könnten, aber für den menschlichen Arbeitsfluss ist der aktuelle Modus eher umständlich, da die meiste Zeit mit warten verbracht wird."
AAL1220,overall,overall,4_free,"Auch wenn Form möglicherweise schlechtere Ergebnisse liefern kann, da es weniger detaillierte Informationen nimmt, ist der Arbeitsfluss damit deutlich angenehmer, also die ganze Zeit zu warten bis eine Willkommensnachricht generiert worden ist. Chat ist besser als Ask, da bei Chat einem die Leistung abgenommen wird, die Informationen aus der Antwort noch zu sammeln. Ask erscheint insgesamt am umständlichsten, ich könnte dort einfach ein externes LLM nutzen und wäre in der Erstellung deutlich schneller."
AEB2451,2,Ask,2_free,"Es wäre viel angenehmer, wenn man dem KI-Modell einmal am Anfang den Kontext geben kann und dann den Chat zu den jeweiligen Felder verwenden kann. So musste bei jedem Feld der Kontext neu gegeben werden, was man sich sparen kann.  Ich weiß nicht ob es gewollt ist, aber in dem Modus ist nur Freitext als Eingabe möglich. Mit den Kästchen von davor war das deutlich angenehmer und vor allem schneller.  Erklärungen sind natürlich viel besser als bei den KI-Vorschlägen"
AEB2451,3,Chat,3_free,"Es hat zwei Generierungen des Dokuments gebraucht, um die Rechtsgrundlagen einzutragen, obwohl es am Ende des Chats beim ersten Mal hieß:  Ich habe die Verarbeitungsgrundlagen entsprechend aktualisiert .  Bei den Aufbewahrungsfristen wurden im Modus davor mehr Vorschläge gemacht. Hier wurde einfach übernommen, was im Szenario steht ohne Hinweis bzw. Bewertungsversuch, ob das gesetzeskonform ist."
AEB2451,overall,overall,4_free,"Bei Chat und Ask wäre es wie erwähnt angenehmer das Szenario einmal am Anfang als Kontext zu geben. Form ist deutlich übersichtlicher, da man schnell überblicken kann was ausgewählt wurde. Bei Ask musste zusätzlich teilweise nach einer Formulierung gefragt werden, die dann in das Freitextfeld kopiert werden kann, was es am umständlichsten macht - Chat hat selbst ergänzt.   Am besten fände ich eine Mischung aus Form und Ask/Chat für bessere Explainability"
ALN1431,overall,overall,4_free,"form am schnellsten, chat am langsamsten dafür fühlt man sich sicherer und ask ist genau die mischung"
AMR2620,2,Chat,2_free,"Es wäre evtl. gut, wenn die KI auch ohne Input bereits etwas ankreuzt, was Sie als sinnvoll erachtet. Bei der ersten Erstellung meines Dokuments war die Rechtsgrundlage leer, weil ich keinen Input im Chat gegeben habe."
AMR2620,3,Ask,3_free,"Es wäre gut, wenn die KI sich an den eingegebenen (Copy Pasted) Text erinnern würde in verschiedenen Feldern. So musste ich es immer neu copy pasten damit sie die Vorschläge anpasst"
AMR2620,overall,overall,4_free,Form muss man alles selber nachprüfen und man ist eher unsicher. Bei Chat kreuzt die KI einem alles an (auch wenn man immer selber noch bestätigen muss). Dieses automatische Ankreuzen ist bei Ask leider nicht gegeben und man muss die Antwort selber formulieren bzw. copy pasten.
ANN1112,1,Chat,1_free,Manchmal antwortet die KI plötzlich in english statt deutsch.
ANN1112,2,Form,2_free,"Schlechte Lesbarkeit, da nur eine schmale Zeile"
AOL1438,overall,overall,4_free,"Ich will nicht gezwungen sein mit der KI zu chatten, manchmal weiß ich schon wie ich Felder auszufüllen habe, und dann machts die KI (vor allem mit der Darstellung des Chats als (simulierter) Stream) nur lästig langsam und nervt bei der Arbeit."
ARN2026,overall,overall,4_free,"Form was sehr hilfreich und zeiteffizient. Es verleitet aber vielleicht dazu, dass man nur die KI Vorschläge nutzt."
ATN238,1,Ask,1_free,"Durch die getrennten Chats, mussten Informationen redundant eingegeben werden. Die Komplexität des falls könnte auch in weniger Schritten erfasst werden."
